epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.404,1.15175,1.69744,1.128,0.8483,0.75391,0.82456,0.40671,1.71319,1.00879,1.47432,0.00333243,0.00333243,0.00333243
2,1867.17,1.19802,0.83428,1.15886,0.82253,0.68599,0.77251,0.33229,1.92259,1.137,1.64878,0.00660577,0.00660577,0.00660577
3,2714.97,1.26138,0.85835,1.20467,0.8071,0.67132,0.76423,0.32183,1.97087,1.14617,1.68396,0.00981911,0.00981911,0.00981911
4,3385.03,1.23172,0.81188,1.19746,0.84692,0.75445,0.83086,0.37628,1.86174,0.97886,1.58837,0.00973,0.00973,0.00973
5,4053.96,1.1709,0.74058,1.16436,0.84202,0.7577,0.83141,0.38872,1.82888,0.93235,1.57375,0.00964,0.00964,0.00964
6,4861.54,1.13029,0.69305,1.13814,0.86898,0.78624,0.85144,0.40396,1.79507,0.87562,1.53289,0.00955,0.00955,0.00955
7,5722.78,1.10497,0.66182,1.12107,0.87609,0.78038,0.85143,0.40816,1.78067,0.87243,1.53856,0.00946,0.00946,0.00946
8,6642.96,1.0836,0.64346,1.11197,0.88342,0.80021,0.86613,0.41087,1.82036,0.84564,1.55989,0.00937,0.00937,0.00937
9,7506.39,1.06893,0.62448,1.10805,0.89896,0.80173,0.87886,0.43378,1.75351,0.82024,1.51333,0.00928,0.00928,0.00928
10,8331.14,1.05325,0.611,1.09517,0.89653,0.80754,0.8822,0.43033,1.75916,0.79566,1.52305,0.00919,0.00919,0.00919
11,9134.78,1.04378,0.59869,1.09006,0.90414,0.81706,0.88794,0.43096,1.7677,0.78044,1.53107,0.0091,0.0091,0.0091
12,9994.74,1.03156,0.58796,1.08192,0.89866,0.81977,0.88672,0.43318,1.77322,0.78542,1.54516,0.00901,0.00901,0.00901
13,10771.4,1.02709,0.58056,1.08109,0.90733,0.82745,0.89669,0.44051,1.76033,0.77079,1.52782,0.00892,0.00892,0.00892
14,11438.8,1.02137,0.57498,1.07685,0.91316,0.83379,0.89843,0.43934,1.75065,0.75539,1.51385,0.00883,0.00883,0.00883
15,12205.4,1.01592,0.56986,1.07356,0.91408,0.82571,0.89598,0.44028,1.75938,0.75175,1.5224,0.00874,0.00874,0.00874
16,13083.4,1.01161,0.56471,1.07314,0.90847,0.83409,0.89822,0.44312,1.75716,0.74389,1.5277,0.00865,0.00865,0.00865
17,13881.8,1.00061,0.55884,1.06453,0.90847,0.83269,0.89814,0.44379,1.75363,0.74139,1.52718,0.00856,0.00856,0.00856
18,14687.5,0.99382,0.55208,1.06185,0.91182,0.82704,0.89836,0.44399,1.75866,0.74119,1.53184,0.00847,0.00847,0.00847
19,15440.8,0.98969,0.54896,1.06168,0.91217,0.83025,0.89955,0.44482,1.75712,0.73917,1.52807,0.00838,0.00838,0.00838
20,16281.1,0.98774,0.54817,1.05906,0.9096,0.83339,0.89965,0.44401,1.75849,0.73761,1.52916,0.00829,0.00829,0.00829
21,17121.2,0.98133,0.53868,1.05602,0.909,0.83384,0.89878,0.44515,1.75669,0.73746,1.52785,0.0082,0.0082,0.0082
22,17934.9,0.98212,0.54147,1.05464,0.90971,0.83406,0.90006,0.44491,1.75651,0.73618,1.52655,0.00811,0.00811,0.00811
23,18701.3,0.97672,0.53706,1.05252,0.91211,0.83339,0.90082,0.44614,1.75677,0.73473,1.52735,0.00802,0.00802,0.00802
24,19508.1,0.97448,0.5351,1.05256,0.91956,0.8265,0.89999,0.44615,1.75675,0.73492,1.52763,0.00793,0.00793,0.00793
25,20228.1,0.97071,0.53411,1.04727,0.90931,0.83758,0.90167,0.44784,1.75509,0.7317,1.52658,0.00784,0.00784,0.00784
26,21044.6,0.96924,0.52904,1.05165,0.91242,0.83699,0.90277,0.44846,1.75355,0.73091,1.52561,0.00775,0.00775,0.00775
27,21867.7,0.96631,0.52517,1.04501,0.91497,0.83441,0.90316,0.44884,1.75328,0.72879,1.52694,0.00766,0.00766,0.00766
28,22592,0.96065,0.52063,1.04258,0.91518,0.83664,0.90382,0.45068,1.75175,0.72596,1.52482,0.00757,0.00757,0.00757
29,23347.6,0.95991,0.52099,1.04413,0.91326,0.83845,0.90351,0.45014,1.75101,0.72585,1.52298,0.00748,0.00748,0.00748
30,24262.3,0.95652,0.51774,1.04255,0.91061,0.84038,0.90428,0.45073,1.7512,0.72464,1.52285,0.00739,0.00739,0.00739
31,25261,0.95407,0.51897,1.03749,0.91503,0.83898,0.90497,0.45174,1.74949,0.72404,1.52166,0.0073,0.0073,0.0073
32,26053.1,0.95223,0.51485,1.03761,0.91622,0.8365,0.90443,0.45249,1.74858,0.72324,1.52122,0.00721,0.00721,0.00721
33,26860.5,0.95196,0.51092,1.04119,0.91762,0.83264,0.90473,0.45268,1.74867,0.72257,1.52194,0.00712,0.00712,0.00712
34,27637.2,0.94496,0.50682,1.03425,0.91479,0.83249,0.90383,0.45244,1.74734,0.72218,1.52125,0.00703,0.00703,0.00703
35,28519.1,0.94578,0.50622,1.03386,0.91578,0.83554,0.90419,0.45271,1.74613,0.72017,1.52007,0.00694,0.00694,0.00694
36,29353.1,0.9405,0.49903,1.03158,0.91548,0.83613,0.90436,0.45331,1.74461,0.71887,1.51823,0.00685,0.00685,0.00685
