epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1415.22,1.1613,1.68697,1.12451,0.83383,0.72386,0.79758,0.37569,1.78626,1.12259,1.48163,0.00333191,0.00333191,0.00333191
2,2671.28,1.16787,0.80507,1.14057,0.81025,0.67562,0.76283,0.33928,1.92282,1.09603,1.60111,0.00660525,0.00660525,0.00660525
3,4292.49,1.2356,0.82813,1.1888,0.8199,0.68853,0.77421,0.33756,1.92685,1.14654,1.68073,0.0098186,0.0098186,0.0098186
4,5636.01,1.21363,0.79034,1.18778,0.84261,0.71708,0.80343,0.36002,1.87955,1.04079,1.63193,0.00973,0.00973,0.00973
5,6994.75,1.15601,0.72407,1.15662,0.84811,0.74642,0.82243,0.38726,1.81973,0.96082,1.5802,0.00964,0.00964,0.00964
6,8348.85,1.1134,0.67431,1.13197,0.8584,0.76224,0.84791,0.40796,1.79464,0.91792,1.52327,0.00955,0.00955,0.00955
7,10219.2,1.08785,0.64928,1.11953,0.87211,0.78128,0.85532,0.41544,1.77485,0.88276,1.52112,0.00946,0.00946,0.00946
8,11557.5,1.06665,0.62797,1.10723,0.89619,0.77366,0.8665,0.41883,1.78571,0.85136,1.53028,0.00937,0.00937,0.00937
9,13163.8,1.05227,0.61213,1.09542,0.88952,0.79306,0.87071,0.42067,1.78229,0.83585,1.53544,0.00928,0.00928,0.00928
10,14509.8,1.03904,0.59952,1.09086,0.89315,0.80161,0.87881,0.4284,1.7525,0.82424,1.51569,0.00919,0.00919,0.00919
11,15771.8,1.03523,0.59138,1.08933,0.88808,0.80929,0.87769,0.43,1.76373,0.80597,1.52676,0.0091,0.0091,0.0091
12,17196.1,1.02039,0.57802,1.08248,0.9099,0.79567,0.87769,0.4326,1.76423,0.80745,1.51795,0.00901,0.00901,0.00901
13,18420.8,1.01543,0.57373,1.07839,0.90264,0.80955,0.88349,0.43754,1.75494,0.78607,1.51077,0.00892,0.00892,0.00892
14,19781.3,1.00696,0.56632,1.07482,0.90492,0.80779,0.88494,0.43946,1.7593,0.79267,1.51028,0.00883,0.00883,0.00883
15,21011.4,0.9975,0.55649,1.06828,0.90858,0.80999,0.88562,0.44138,1.75442,0.78335,1.50934,0.00874,0.00874,0.00874
16,23167.3,0.98912,0.55392,1.06315,0.89466,0.81558,0.88363,0.43902,1.7611,0.78271,1.51652,0.00865,0.00865,0.00865
17,24516.2,0.98788,0.54747,1.06222,0.89666,0.81698,0.88545,0.44344,1.75441,0.7759,1.51497,0.00856,0.00856,0.00856
18,26659.8,0.98646,0.54459,1.05824,0.90513,0.81488,0.88886,0.44398,1.7536,0.7663,1.51093,0.00847,0.00847,0.00847
19,27954,0.97978,0.53835,1.05594,0.90857,0.81313,0.88953,0.44659,1.749,0.76286,1.50739,0.00838,0.00838,0.00838
20,29040.1,0.97593,0.53814,1.05532,0.90718,0.81523,0.89259,0.44777,1.74487,0.76139,1.50352,0.00829,0.00829,0.00829
21,30255.5,0.97442,0.5351,1.05635,0.90512,0.82152,0.89314,0.44838,1.74448,0.76103,1.50263,0.0082,0.0082,0.0082
22,31676,0.97267,0.5307,1.05035,0.9055,0.82117,0.89241,0.44901,1.74486,0.75924,1.50303,0.00811,0.00811,0.00811
23,32994.6,0.97065,0.52879,1.05169,0.90584,0.81986,0.89268,0.45024,1.74436,0.75439,1.50256,0.00802,0.00802,0.00802
24,34543.4,0.96246,0.52686,1.0481,0.90784,0.81663,0.89251,0.45072,1.74393,0.75158,1.5012,0.00793,0.00793,0.00793
25,35818.2,0.96431,0.52531,1.04643,0.91215,0.81604,0.8927,0.45218,1.74142,0.74867,1.50019,0.00784,0.00784,0.00784
26,37081.3,0.96114,0.52134,1.04621,0.91579,0.81418,0.89364,0.45227,1.74124,0.74678,1.50094,0.00775,0.00775,0.00775
27,38505.5,0.95799,0.51828,1.04416,0.9147,0.81646,0.89418,0.45317,1.7405,0.74556,1.50088,0.00766,0.00766,0.00766
28,41323.8,0.95127,0.51356,1.04094,0.91606,0.81732,0.89503,0.45384,1.73991,0.7452,1.50029,0.00757,0.00757,0.00757
29,42500.6,0.94953,0.51354,1.04178,0.91523,0.81628,0.89562,0.45465,1.73967,0.74548,1.50004,0.00748,0.00748,0.00748
30,43988.1,0.94261,0.50988,1.03993,0.91091,0.82221,0.89737,0.45418,1.74051,0.74369,1.5006,0.00739,0.00739,0.00739
31,45116.1,0.94638,0.51095,1.03934,0.90801,0.82536,0.89694,0.45452,1.74195,0.74331,1.50132,0.0073,0.0073,0.0073
32,46410.1,0.94273,0.50508,1.03671,0.90954,0.82221,0.89676,0.45438,1.74309,0.7441,1.50211,0.00721,0.00721,0.00721
33,47654.8,0.93796,0.50197,1.03708,0.9104,0.82291,0.89664,0.45534,1.74228,0.74286,1.5016,0.00712,0.00712,0.00712
34,48791.2,0.93737,0.5016,1.03075,0.91037,0.8195,0.89711,0.45526,1.7414,0.74117,1.50076,0.00703,0.00703,0.00703
35,50117.8,0.9341,0.49813,1.03379,0.90873,0.82074,0.8971,0.45537,1.74039,0.74105,1.49992,0.00694,0.00694,0.00694
36,52213.3,0.93097,0.49818,1.03077,0.91047,0.82082,0.89896,0.4556,1.74033,0.74166,1.49934,0.00685,0.00685,0.00685
37,53454.2,0.92796,0.49447,1.02984,0.91033,0.82047,0.89919,0.45567,1.73971,0.74005,1.49929,0.00676,0.00676,0.00676
38,55734.2,0.92789,0.49365,1.02989,0.90878,0.82326,0.89849,0.45628,1.74046,0.73989,1.50029,0.00667,0.00667,0.00667
39,56868.2,0.92595,0.4915,1.02783,0.91036,0.82299,0.89905,0.45672,1.74207,0.73984,1.50147,0.00658,0.00658,0.00658
40,58034.7,0.92145,0.48653,1.02456,0.91205,0.82222,0.89938,0.45652,1.74264,0.73852,1.50146,0.00649,0.00649,0.00649
41,59322.6,0.92257,0.49075,1.02933,0.90698,0.82754,0.90009,0.45671,1.74266,0.73687,1.50166,0.0064,0.0064,0.0064
42,61262.8,0.92047,0.48668,1.02225,0.90757,0.82656,0.89907,0.45633,1.74235,0.73737,1.50151,0.00631,0.00631,0.00631
43,63074.2,0.91872,0.48808,1.02191,0.90947,0.82457,0.8992,0.45762,1.74361,0.73587,1.50232,0.00622,0.00622,0.00622
44,65129.3,0.9156,0.48336,1.02255,0.91081,0.82394,0.89929,0.45739,1.74489,0.73448,1.50313,0.00613,0.00613,0.00613
45,66327.7,0.91235,0.47943,1.0219,0.90966,0.8278,0.90013,0.45693,1.74551,0.73383,1.50306,0.00604,0.00604,0.00604
46,67646.9,0.9112,0.48067,1.01909,0.90855,0.82934,0.90093,0.45721,1.74555,0.73275,1.50327,0.00595,0.00595,0.00595
47,68760.9,0.90865,0.47685,1.01855,0.90977,0.83108,0.90205,0.45722,1.74538,0.7302,1.50419,0.00586,0.00586,0.00586
48,69981.9,0.90691,0.47566,1.01711,0.90733,0.83097,0.90139,0.45729,1.745,0.72784,1.50414,0.00577,0.00577,0.00577
49,71111,0.90785,0.47458,1.01396,0.90799,0.83065,0.90085,0.45678,1.74574,0.7258,1.5051,0.00568,0.00568,0.00568
50,72542.8,0.90759,0.47311,1.01543,0.91127,0.82863,0.90261,0.45844,1.74565,0.72456,1.50541,0.00559,0.00559,0.00559
51,73714.2,0.90136,0.47323,1.01422,0.91001,0.8292,0.90272,0.45754,1.747,0.72419,1.50725,0.0055,0.0055,0.0055
52,74926.2,0.8975,0.46955,1.01382,0.90405,0.83688,0.90312,0.45783,1.74748,0.72226,1.50688,0.00541,0.00541,0.00541
53,76081.8,0.89971,0.46911,1.01335,0.90679,0.83758,0.90443,0.45888,1.74608,0.7216,1.50569,0.00532,0.00532,0.00532
54,77251,0.89593,0.46594,1.00998,0.90568,0.83968,0.90498,0.4597,1.74492,0.72109,1.50518,0.00523,0.00523,0.00523
55,78429.7,0.89269,0.46567,1.01019,0.90269,0.83933,0.90376,0.45931,1.7433,0.71994,1.50428,0.00514,0.00514,0.00514
56,80574.9,0.89063,0.46188,1.00903,0.90161,0.83863,0.90338,0.45907,1.74327,0.71986,1.50361,0.00505,0.00505,0.00505
57,81794.4,0.89055,0.46291,1.00967,0.90429,0.83828,0.90387,0.45975,1.74106,0.71913,1.50224,0.00496,0.00496,0.00496
58,83296.2,0.8856,0.46095,1.00779,0.90689,0.83688,0.90504,0.46009,1.74064,0.71878,1.50253,0.00487,0.00487,0.00487
59,85616.3,0.886,0.4566,1.00844,0.90635,0.83838,0.90345,0.45981,1.73977,0.7184,1.50156,0.00478,0.00478,0.00478
60,86990.2,0.88671,0.45994,1.00446,0.90794,0.83713,0.9031,0.45974,1.74046,0.71663,1.50127,0.00469,0.00469,0.00469
61,88174.5,0.88382,0.45432,1.00747,0.9083,0.83723,0.90377,0.46008,1.73941,0.71608,1.50093,0.0046,0.0046,0.0046
62,89373.5,0.87758,0.45039,1.00228,0.90807,0.83933,0.90289,0.45982,1.7404,0.71489,1.50167,0.00451,0.00451,0.00451
63,90735.6,0.87957,0.45098,1.0025,0.91213,0.83863,0.90348,0.46026,1.73996,0.71394,1.50017,0.00442,0.00442,0.00442
64,91937,0.87788,0.45046,1.00139,0.91208,0.84069,0.90389,0.46116,1.73853,0.71265,1.49972,0.00433,0.00433,0.00433
65,93391.3,0.87382,0.44724,1.00294,0.91301,0.84177,0.90517,0.46136,1.73802,0.71228,1.49933,0.00424,0.00424,0.00424
66,94881.8,0.87362,0.44588,0.99974,0.91397,0.84235,0.90578,0.46148,1.73871,0.71177,1.49934,0.00415,0.00415,0.00415
67,97092.6,0.87125,0.44494,0.99712,0.9124,0.84397,0.90581,0.46112,1.73887,0.71093,1.4997,0.00406,0.00406,0.00406
68,98274.7,0.86546,0.44017,0.99384,0.91175,0.84444,0.90566,0.4611,1.73752,0.7107,1.49842,0.00397,0.00397,0.00397
69,99413.5,0.86345,0.44255,0.99614,0.90767,0.84467,0.90538,0.46172,1.73639,0.70951,1.49776,0.00388,0.00388,0.00388
70,101195,0.86219,0.43827,0.99379,0.907,0.84822,0.90571,0.46255,1.73524,0.70821,1.49737,0.00379,0.00379,0.00379
71,102753,0.86162,0.43394,0.99208,0.91166,0.84706,0.9057,0.46273,1.73458,0.70779,1.49694,0.0037,0.0037,0.0037
72,104027,0.85887,0.43518,0.99041,0.90931,0.84753,0.90495,0.46316,1.73473,0.70834,1.49704,0.00361,0.00361,0.00361
73,105375,0.85673,0.43439,0.99001,0.90739,0.84806,0.9056,0.46332,1.73456,0.70858,1.49688,0.00352,0.00352,0.00352
74,107646,0.85576,0.43503,0.99172,0.91127,0.8466,0.9048,0.46294,1.73443,0.70943,1.49702,0.00343,0.00343,0.00343
75,108897,0.8557,0.4308,0.99009,0.91242,0.84457,0.90556,0.46311,1.73487,0.70922,1.49797,0.00334,0.00334,0.00334
76,110011,0.84987,0.42959,0.98684,0.91205,0.844,0.90497,0.46341,1.7348,0.70932,1.49766,0.00325,0.00325,0.00325
77,111172,0.85063,0.42578,0.98689,0.91031,0.84317,0.90485,0.4635,1.73458,0.71107,1.49717,0.00316,0.00316,0.00316
78,112930,0.84578,0.42486,0.98541,0.91217,0.84159,0.90404,0.46322,1.73494,0.71174,1.49813,0.00307,0.00307,0.00307
79,114369,0.84777,0.42404,0.9852,0.91738,0.84154,0.90524,0.46323,1.73444,0.71179,1.49733,0.00298,0.00298,0.00298
80,115518,0.8412,0.41968,0.98208,0.91558,0.84095,0.90406,0.46394,1.73427,0.71119,1.49764,0.00289,0.00289,0.00289
81,116608,0.83818,0.41877,0.98341,0.91825,0.84073,0.90531,0.4644,1.7339,0.7117,1.49757,0.0028,0.0028,0.0028
82,117918,0.83631,0.41777,0.98216,0.9165,0.8396,0.90459,0.46407,1.734,0.71194,1.49739,0.00271,0.00271,0.00271
83,119068,0.83064,0.41409,0.97897,0.91535,0.83851,0.90352,0.46457,1.73354,0.71304,1.49669,0.00262,0.00262,0.00262
84,120898,0.83041,0.41223,0.97773,0.91604,0.8346,0.90214,0.46379,1.73442,0.71338,1.49733,0.00253,0.00253,0.00253
85,122013,0.82926,0.41049,0.9781,0.91395,0.83843,0.90268,0.46336,1.73527,0.71386,1.49826,0.00244,0.00244,0.00244
86,123805,0.8268,0.40607,0.97976,0.91374,0.83618,0.90232,0.46293,1.73569,0.71492,1.49896,0.00235,0.00235,0.00235
87,125155,0.82634,0.40695,0.9751,0.91605,0.83863,0.90243,0.46316,1.73519,0.71633,1.49865,0.00226,0.00226,0.00226
88,127196,0.82317,0.40419,0.97608,0.91798,0.83653,0.90148,0.46256,1.73496,0.71691,1.49815,0.00217,0.00217,0.00217
